alarm_id,timestamp,source_system,host,service,severity,alarm_type,message,veri_merkezi,kabin,ortam
ALM-01499,2026-09-10T01:30:20,OBM,ao-042-load,load-balancer,4,cert_expiry,Sertifika 26 gun icinde suresi dolacak,dc2,rack-A,prod
ALM-02839,2026-09-10T01:30:23,Zabbix,ao-014-session,session-service,2,network_flap,Arayuz ens192 link durumu 50 kez degisti,dc2,rack-C,prod
ALM-02927,2026-09-10T01:30:30,AppDynamics,ao-054-payment,payment-provider-gw,2,disk_warn,"Disk kullanimi uyari seviyesinde, yuzde 29 dolu",dc2,rack-A,prod
ALM-02545,2026-09-10T01:30:32,SyslogNG,ao-053-payment,payment-provider-gw,2,log_rotate,"Log rotasyonu beklenenden uzun surdu, 76 saniye",dc1,rack-C,prod
ALM-02229,2026-09-10T01:30:36,SyslogNG,ao-006-mobile,mobile-bff,4,network_flap,Arayuz eth0 link durumu 59 kez degisti,dc2,rack-A,prod
ALM-01638,2026-09-10T01:30:37,SyslogNG,ao-013-session,session-service,3,network_flap,Arayuz ens192 link durumu 31 kez degisti,dc1,rack-B,prod
ALM-02023,2026-09-10T01:30:38,OBM,ao-047-ntp,ntp-service,1,log_rotate,"Log rotasyonu beklenenden uzun surdu, 88 saniye",dc1,rack-C,prod
ALM-01706,2026-09-10T01:30:53,OBM,ao-045-dns,dns-resolver,3,mem_high,Bellek kullanimi yuzde 38 seviyesinde,dc1,rack-A,prod
ALM-01698,2026-09-10T01:30:55,Zabbix,ao-012-session,session-service,1,mem_high,Bellek kullanimi yuzde 52 seviyesinde,dc2,rack-A,prod
ALM-01738,2026-09-10T01:31:00,OBM,ao-032-subscriber,subscriber-db,2,cpu_high,CPU kullanimi yuzde 66,dc2,rack-C,prod
ALM-02966,2026-09-10T01:31:05,OBM,ao-020-billing,billing-service,1,ntp_drift,Saat sapmasi 22 ms,dc2,rack-C,prod
ALM-02076,2026-09-10T01:31:12,OBM,ao-046-dns,dns-resolver,1,ntp_drift,Saat sapmasi 28 ms,dc2,rack-B,prod
ALM-01358,2026-09-10T01:31:13,AppDynamics,ao-017-subscriber,subscriber-service,3,disk_warn,"Disk kullanimi uyari seviyesinde, yuzde 71 dolu",dc1,rack-C,prod
ALM-02387,2026-09-10T01:31:14,SyslogNG,ao-012-session,session-service,1,disk_warn,"Disk kullanimi uyari seviyesinde, yuzde 45 dolu",dc2,rack-A,prod
ALM-01582,2026-09-10T01:31:20,OBM,ao-033-subscriber,subscriber-db,2,network_flap,Arayuz bond0 link durumu 38 kez degisti,dc1,rack-A,prod
ALM-01825,2026-09-10T01:31:30,Zabbix,ao-034-billing,billing-db,1,backup_warn,Yedekleme isi 81 dakika gecikmeli tamamlandi,dc2,rack-B,prod
ALM-02469,2026-09-10T01:31:31,SyslogNG,ao-031-subscriber,subscriber-db,3,disk_warn,"Disk kullanimi uyari seviyesinde, yuzde 88 dolu",dc1,rack-B,prod
ALM-02170,2026-09-10T01:31:33,AppDynamics,ao-007-web,web-bff,2,disk_warn,"Disk kullanimi uyari seviyesinde, yuzde 20 dolu",dc1,rack-B,prod
ALM-01746,2026-09-10T01:31:39,Prometheus,ao-005-mobile,mobile-bff,1,ntp_drift,Saat sapmasi 37 ms,dc1,rack-C,prod
ALM-02590,2026-09-10T01:31:47,Zabbix,ao-028-order,order-service,1,backup_warn,Yedekleme isi 67 dakika gecikmeli tamamlandi,dc2,rack-B,prod
ALM-02181,2026-09-10T01:31:49,Prometheus,ao-015-subscriber,subscriber-service,2,latency_high,"Yanit suresi p99 esigi asti, 88 ms",dc1,rack-A,prod
ALM-02662,2026-09-10T01:31:49,AppDynamics,ao-004-mobile,mobile-bff,2,latency_high,"Yanit suresi p99 esigi asti, 44 ms",dc2,rack-B,prod
ALM-02582,2026-09-10T01:31:53,SyslogNG,ao-052-payment,payment-provider-gw,3,backup_warn,Yedekleme isi 51 dakika gecikmeli tamamlandi,dc2,rack-B,prod
