host,servis,veri_merkezi,kabin,ortam,is_kritikligi
ao-001-api,api-gateway,dc1,rack-B,prod,kritik
ao-002-api,api-gateway,dc2,rack-C,prod,kritik
ao-003-api,api-gateway,dc1,rack-A,prod,kritik
ao-004-mobile,mobile-bff,dc2,rack-B,prod,kritik
ao-005-mobile,mobile-bff,dc1,rack-C,prod,kritik
ao-006-mobile,mobile-bff,dc2,rack-A,prod,kritik
ao-007-web,web-bff,dc1,rack-B,prod,yuksek
ao-008-web,web-bff,dc2,rack-C,prod,yuksek
ao-009-auth,auth-service,dc1,rack-A,prod,kritik
ao-010-auth,auth-service,dc2,rack-B,prod,kritik
ao-011-auth,auth-service,dc1,rack-C,prod,kritik
ao-012-session,session-service,dc2,rack-A,prod,kritik
ao-013-session,session-service,dc1,rack-B,prod,kritik
ao-014-session,session-service,dc2,rack-C,prod,kritik
ao-015-subscriber,subscriber-service,dc1,rack-A,prod,kritik
ao-016-subscriber,subscriber-service,dc2,rack-B,prod,kritik
ao-017-subscriber,subscriber-service,dc1,rack-C,prod,kritik
ao-018-billing,billing-service,dc2,rack-A,prod,kritik
ao-019-billing,billing-service,dc1,rack-B,prod,kritik
ao-020-billing,billing-service,dc2,rack-C,prod,kritik
ao-021-charging,charging-service,dc1,rack-A,prod,kritik
ao-022-charging,charging-service,dc2,rack-B,prod,kritik
ao-023-charging,charging-service,dc1,rack-C,prod,kritik
ao-024-payment,payment-service,dc2,rack-A,prod,kritik
ao-025-payment,payment-service,dc1,rack-B,prod,kritik
ao-026-payment,payment-service,dc2,rack-C,prod,kritik
ao-027-order,order-service,dc1,rack-A,prod,yuksek
ao-028-order,order-service,dc2,rack-B,prod,yuksek
ao-029-catalog,catalog-service,dc1,rack-C,prod,orta
ao-030-notification,notification-service,dc2,rack-A,prod,orta
ao-031-subscriber,subscriber-db,dc1,rack-B,prod,kritik
ao-032-subscriber,subscriber-db,dc2,rack-C,prod,kritik
ao-033-subscriber,subscriber-db,dc1,rack-A,prod,kritik
ao-034-billing,billing-db,dc2,rack-B,prod,kritik
ao-035-billing,billing-db,dc1,rack-C,prod,kritik
ao-036-billing,billing-db,dc2,rack-A,prod,kritik
ao-037-cache,cache-cluster,dc1,rack-B,prod,yuksek
ao-038-cache,cache-cluster,dc2,rack-C,prod,yuksek
ao-039-message,message-queue,dc1,rack-A,prod,yuksek
ao-040-message,message-queue,dc2,rack-B,prod,yuksek
ao-041-object,object-store,dc1,rack-C,prod,orta
ao-042-load,load-balancer,dc2,rack-A,prod,kritik
ao-043-load,load-balancer,dc1,rack-B,prod,kritik
ao-044-load,load-balancer,dc2,rack-C,prod,kritik
ao-045-dns,dns-resolver,dc1,rack-A,prod,yuksek
ao-046-dns,dns-resolver,dc2,rack-B,prod,yuksek
ao-047-ntp,ntp-service,dc1,rack-C,prod,dusuk
ao-048-batch,batch-scheduler,dc2,rack-A,prod,orta
ao-049-invoice,invoice-batch,dc1,rack-B,prod,orta
ao-050-reconciliation,reconciliation-batch,dc2,rack-C,prod,dusuk
ao-051-report,report-batch,dc1,rack-A,prod,dusuk
ao-052-payment,payment-provider-gw,dc2,rack-B,prod,kritik
ao-053-payment,payment-provider-gw,dc1,rack-C,prod,kritik
ao-054-payment,payment-provider-gw,dc2,rack-A,prod,kritik
ao-055-sms,sms-gateway,dc1,rack-B,prod,orta
ao-056-kyc,kyc-provider-gw,dc2,rack-C,prod,dusuk
