kaynak_servis,hedef_servis,bagimlilik_tipi,kritiklik
api-gateway,auth-service,senkron,kritik
api-gateway,load-balancer,senkron,kritik
mobile-bff,api-gateway,senkron,kritik
web-bff,api-gateway,senkron,kritik
mobile-bff,session-service,senkron,kritik
web-bff,session-service,senkron,kritik
auth-service,session-service,senkron,kritik
session-service,cache-cluster,senkron,yuksek
subscriber-service,subscriber-db,senkron,kritik
subscriber-service,cache-cluster,senkron,yuksek
billing-service,billing-db,senkron,kritik
billing-service,charging-service,senkron,kritik
charging-service,subscriber-service,senkron,kritik
payment-service,payment-provider-gw,senkron,kritik
payment-service,billing-service,senkron,kritik
order-service,payment-service,senkron,kritik
order-service,catalog-service,senkron,orta
order-service,subscriber-service,senkron,kritik
mobile-bff,order-service,senkron,yuksek
notification-service,sms-gateway,asenkron,orta
notification-service,message-queue,asenkron,yuksek
order-service,message-queue,asenkron,yuksek
invoice-batch,billing-db,senkron,kritik
invoice-batch,batch-scheduler,asenkron,orta
reconciliation-batch,batch-scheduler,asenkron,orta
reconciliation-batch,subscriber-db,senkron,kritik
report-batch,batch-scheduler,asenkron,orta
report-batch,subscriber-db,senkron,kritik
auth-service,kyc-provider-gw,asenkron,dusuk
catalog-service,object-store,senkron,orta
api-gateway,dns-resolver,senkron,yuksek
subscriber-service,dns-resolver,senkron,yuksek
